:mode=ask
:IOAccess;Application;Topic;AdviseActive;DDEProtocol
"plc9";"finsgtwy";"plc9";Yes;No
"plc8";"finsgtwy";"plc8";Yes;No
"plc1";"finsgtwy";"plc1";Yes;No
"plc6";"finsgtwy";"plc6";Yes;No
"plc5";"finsgtwy";"plc5";Yes;No
"plc4";"finsgtwy";"plc4";Yes;No
"plc3";"finsgtwy";"plc3";Yes;No
"plc2";"finsgtwy";"plc2";Yes;No
"MODBUS_STATUS";"VIEW";"IOSTATUS";Yes;No
"INT";"modbus";"INT";Yes;Yes
"plc7";"finsgtwy";"plc7";Yes;No
"INTOUCH";"finsgtwy";"INTOUCH";Yes;No
:MemoryDisc;Group;Comment;Logged;EventLogged;EventLoggingPriority;RetentiveValue;InitialDisc;OffMsg;OnMsg;AlarmState;AlarmPri;AlarmComment;AlarmAckModel;DSCAlarmDisable;DSCAlarmInhibitor
"C173BErr\Err2";"$System";"Нажата кнопка СТОП на лок. пульте";No;No;0;No;Off;"";"";On;1;"Цн 173(ГП): Нажата кнопка СТОП на лок. пульте";0;0;""
"C173BErr\Err3";"$System";"Идет задержка перед перезапуском";No;No;0;No;Off;"";"";On;1;"Цн 173(ГП): Идет задержка перед перезапуском";0;0;""
"C173BErr\Err18";"$System";"Нештатная ситуация";No;No;0;No;Off;"";"";On;1;"Цн 173(ГП): Нештатная ситуация";0;0;""
"C173BErr\Err19";"$System";"Действует внешняя блокировка";No;No;0;No;Off;"";"";On;1;"Цн 173(ГП): Действует внешняя блокировка";0;0;""
"C173BErr\Wrn10";"$System";"сработали блокировки на обор. под нагрузкой";No;No;0;No;Off;"";"";On;251;"";0;0;""
"C173BErr\Wrn1";"$System";"работа эл. двигателя с превышением тока";No;No;0;No;Off;"";"";On;200;"Цн 173(ГП): работа с превышением номинального тока";0;0;""
"C173BErr\Wrn100";"$System";"допустимое превышение момента";No;No;0;No;Off;"";"";On;251;"";0;0;""
"C173BErr\Wrn1000";"$System";"не появилось давл. масла при вкл. насоса";No;No;0;No;Off;"";"";On;251;"";0;0;""
"C173BErr\Err4";"$System";"Нажата кнопка экстренного останова";No;No;0;No;Off;"";"";On;1;"Цн 173(ГП): Нажата кнопка экстренного останова";0;0;""
"C173BErr\Err7";"$System";"Перегрузка";No;No;0;No;Off;"";"";On;1;"Цн 173(ГП): Перегрузка";0;0;""
"C173BErr\Err8";"$System";"Отсутствие давления масла";No;No;0;No;Off;"";"";On;1;"Цн 173(ГП): Отсутствие давления масла";0;0;""
"G169Err\Err1";"$System";"Отключена защитная автоматика";No;No;0;No;Off;"";"";On;1;"Гр 169: Отключена защитная автоматика";0;0;""
"G169Err\Err2";"$System";"Нажата кнопка СТОП на лок. пульте";No;No;0;No;Off;"";"";On;1;"Гр 169: Нажата кнопка СТОП на лок. пульте";0;0;""
"G169Err\Err3";"$System";"Идет задержка перед перезапуском";No;No;0;No;Off;"";"";On;1;"Гр 169: Идет задержка перед перезапуском";0;0;""
"G169Err\Err18";"$System";"Нештатная ситуация";No;No;0;No;Off;"";"";On;1;"Гр 169: Нештатная ситуация";0;0;""
"G169Err\Err19";"$System";"Действует внешняя блокировка";No;No;0;No;Off;"";"";On;1;"Гр 169: Действует внешняя блокировка";0;0;""
"G169Err\Wrn10";"$System";"";No;No;0;No;Off;"";"";On;251;"";0;0;""
"G169Err\Wrn1";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"G169Err\Wrn100";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"G169Err\Wrn1000";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"G169Err\Err4";"$System";"Нажата кнопка экстренного останова";No;No;0;No;Off;"";"";On;1;"Гр 169: Нажата кнопка экстренного останова";0;0;""
"G169Err\Err7";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"G169Err\Err8";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"Sp176AErr\Err7";"$System";"";No;No;0;No;Off;"";"";On;1;"Сп 176 А: Действует внешняя блокировка";0;0;""
"Sp176AErr\Err4";"$System";"";No;No;0;No;Off;"";"";On;1;"Сп 176 А: Нештатная ситуация";0;0;""
"Sp176AErr\Wrn1000";"$System";"";No;No;0;No;Off;"";"";On;251;"";0;0;""
"Sp176AErr\Wrn100";"$System";"";No;No;0;No;Off;"";"";On;251;"";0;0;""
"Sp176AErr\Wrn1";"$System";"";No;No;0;No;Off;"";"";On;251;"";0;0;""
"Sp176AErr\Wrn10";"$System";"";No;No;0;No;Off;"";"";On;251;"Сп 176: сработали блокировки на обор. под нагрузкой";0;0;""
"Sp176AErr\Err19";"$System";"";No;No;0;No;Off;"";"";On;1;"Сп 176: Превышено время ожидания останова";0;0;""
"Sp176AErr\Err18";"$System";"";No;No;0;No;Off;"";"";On;1;"Сп 176 А: Сработала защита двигателя 1";0;0;""
"Sp176AErr\Err3";"$System";"";No;No;0;No;Off;"";"";On;1;"Сп 176 А: Идет задержка перед перезапуском";0;0;""
"Sp176AErr\Err2";"$System";"";No;No;0;No;Off;"";"";On;1;"Сп 176 А: Нажата кнопка СТОП на лок. пульте";0;0;""
"Sp176AErr\Err1";"$System";"";No;No;0;No;Off;"";"";On;1;"Сп 176 А: Отключена защитная автоматика";0;0;""
"Sp176AErr\Err8";"$System";"";No;No;0;No;Off;"";"";On;1;"Сп 176 А: Нажата кнопка экстренного останова";0;0;""
"Sp176BErr\Err1";"$System";"";No;No;0;No;Off;"";"";On;1;"Сп 176 Б: Отключена защитная автоматика";0;0;""
"Sp176BErr\Err2";"$System";"";No;No;0;No;Off;"";"";On;1;"Сп 176 Б: Нажата кнопка СТОП на лок. пульте";0;0;""
"Sp176BErr\Err3";"$System";"";No;No;0;No;Off;"";"";On;1;"Сп 176 Б: Идет задержка перед перезапуском";0;0;""
"Sp176BErr\Err18";"$System";"";No;No;0;No;Off;"";"";On;1;"Сп 176: Аварийный останов с локального пульта";0;0;""
"Sp176BErr\Err19";"$System";"";No;No;0;No;Off;"";"";On;1;"Сп 176: Превышено время ожидания останова";0;0;""
"Sp176BErr\Wrn10";"$System";"";No;No;0;No;Off;"";"";On;251;"Сп 176: сработали блокировки на обор. под нагрузкой";0;0;""
"Sp176BErr\Wrn1";"$System";"";No;No;0;No;Off;"";"";None;251;"";0;0;""
"Sp176BErr\Wrn100";"$System";"";No;No;0;No;Off;"";"";None;251;"";0;0;""
"Sp176BErr\Wrn1000";"$System";"";No;No;0;No;Off;"";"";None;251;"";0;0;""
"Sp176BErr\Err4";"$System";"";No;No;0;No;Off;"";"";On;1;"Сп 176 Б: Нештатная ситуация";0;0;""
"Sp176BErr\Err7";"$System";"";No;No;0;No;Off;"";"";None;1;"Сп 176 Б: Действует внешняя блокировка";0;0;""
"Sp176BErr\Err8";"$System";"";No;No;0;No;Off;"";"";None;1;"Сп 176 Б: Нажата кнопка экстренного останова";0;0;""
"NU161CErr\Err1";"$System";"Срабатывание автомата защиты оборудования";No;No;0;No;Off;"";"";On;1;"НУ 161(Н): Cрабатывание автомата защиты";0;0;""
"NU161CErr\Err2";"$System";"Пропал сигнал \""в работе\"" с оборудования";No;No;0;No;Off;"";"";On;1;"НУ 161(Н): Пропадание сигнала ""в работе""";0;0;""
"NU161CErr\Err3";"$System";"Превышено время ожидания сигнала с оборудования";No;No;0;No;Off;"";"";On;1;"НУ 161(Н): Превышено время ожидания запуска";0;0;""
"NU161CErr\Err18";"$System";"Во время работы нажата кнопка аварийного останова";No;No;0;No;Off;"";"";On;1;"НУ 161(Н): Аварийный останов с локального пульта";0;0;""
"NU161CErr\Err19";"$System";"Невыключение привода";No;No;0;No;Off;"";"";On;1;"НУ 161(Н): Превышено время ожидания останова";0;0;""
"NU161CErr\Wrn10";"$System";"Сработали блокировки на обор. под нагрузкой";No;No;0;No;Off;"";"";On;251;"НУ 161(Н): сработали блокировки на обор. под нагрузкой";0;0;""
"NU161CErr\Wrn1";"$System";"Работа эл. двигателя с превышением тока";No;No;0;No;Off;"";"";On;251;"НУ 161(Н): работа эл. двигателя с превышением тока";0;0;""
"NU161CErr\Wrn100";"$System";"Допустимое превышение момента";No;No;0;No;Off;"";"";On;251;"Допустимое превышение момента";0;0;""
"NU161CErr\Wrn1000";"$System";"Не появилось давл. масла при вкл. насоса";No;No;0;No;Off;"";"";On;251;"";0;0;""
"NU161CErr\Err20";"$System";"Недопустимое превышение температуры";No;No;0;No;Off;"";"";On;1;"НУ 161(Н): Недопустимое превышение температуры";0;0;""
"NU161\HIsShown";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"Scooter1_visible_sca";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"Scooter2_visible_sca";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"Scooter3_visible_sca";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"Scooter4_visible_sca";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"C173\HIsShown";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"SETOAlarms\Alm8";"$System";"";No;No;0;Yes;Off;"";"";On;1;"СЕТО: Вводной автомат секции 0 - 1 мм. отключен ";0;0;""
"SETOAlarms\Alm3";"$System";"";No;No;0;Yes;Off;"";"";On;200;"СЕТО: Авария 1 БП дискретных сигналов";0;0;""
"OSV_H_Err";"$System";"";No;No;0;No;Off;"";"";On;1;"Зф Осв: Нет сигнала с датчика уровня";0;0;""
"C173B\IErr";"$System";"";No;No;0;No;Off;"";"";On;100;"Цн 173(ГП): Нет сигнала с датчика тока";0;0;""
"Z160\HErr";"$System";"";No;No;0;No;Off;"";"";On;100;"Зф 160: Нет сигнала с датчика уровня";0;0;""
"Z160\HIsShown";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"Z160\ZErr";"$System";"";No;No;0;No;Off;"";"";None;100;"";0;0;""
"cft_changed";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"P177\HIsShown";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"P177\RoErr";"$System";"";No;No;0;No;Off;"";"";On;1;"Пл 177: Нет сигнала с датчика плотности";0;0;""
"MainControlErr\Err22";"$System";"";No;No;0;No;Off;"";"";On;1;"Сработали защитные блокировки";0;0;""
"MainControlErr\Err21";"$System";"";No;No;0;No;Off;"";"";On;1;"Плановый останов с пульта оператора";0;0;""
"MainControlErr\Err18";"$System";"";No;No;0;No;Off;"";"";On;1;"Аварийный останов с пульта оператора";0;0;""
"MainControl\Err18";"$System";"";No;No;0;No;Off;"";"";On;1;"Аварийный останов с пульта оператора";0;0;""
"MainControl\Err22";"$System";"";No;No;0;No;Off;"";"";On;1;"Сработали защитные блокировки";0;0;""
"MainControl\Err21";"$System";"";No;No;0;No;Off;"";"";On;1;"Плановый останов с пульта оператора";0;0;""
"SETOAlarms\Alm34DBP";"$System";"";No;No;0;Yes;Off;"";"";On;1;"СЕТО: Отказ питания дискретных сигналов";0;0;""
"SETOAlarms\Alm12ABP";"$System";"";No;No;0;Yes;Off;"";"";On;1;"СЕТО: Отказ питания аналоговых сигналов";0;0;""
"SETOAlarms\Alm13";"$System";"";No;No;0;Yes;Off;"";"";On;200;"СЕТО: ИБП в режиме BY-PASS";0;0;""
"SETOAlarms\Alm12";"$System";"";No;No;0;Yes;Off;"";"";On;1;"СЕТО: Неисправность ИБП";0;0;""
"SETOAlarms\Alm11";"$System";"";No;No;0;Yes;Off;"";"";On;200;"СЕТО: Низкий уровень заряда батареи ИБП";0;0;""
"SETOAlarms\Alm10";"$System";"";No;No;0;Yes;Off;"";"";On;1;"СЕТО: Отсутсвие питания на входе ИБП";0;0;""
"SETOAlarms\Alm9";"$System";"";No;No;0;Yes;Off;"";"";On;1;"СЕТО: Автомат защиты вент. панели отключен ";0;0;""
"sld_changed1";"$System";"было измененено значение слайдера 1";No;No;0;No;Off;"";"";None;1;"";0;0;""
"sld_changed2";"$System";"было измененено значение слайдера 2";No;No;0;No;Off;"";"";None;1;"";0;0;""
"SETOAlarms\Alm5";"$System";"";No;No;0;Yes;Off;"";"";On;1;"СЕТО: Контроль фаз секции 1- 13 мм. - авария";0;0;""
"Z162\HErr";"$System";"";No;No;0;No;Off;"";"";On;100;"Зф 162: Нет сигнала с датчика уровня";0;0;""
"Z162\HIsShown";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"Z162\ZErr";"$System";"";No;No;0;No;Off;"";"";On;100;"Зф 162: Нет сигнала положения задвижки";0;0;""
"S191temp\RWIsShown";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"S191temp\HIsShown";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"S191temp\TErr";"$System";"ошибка при передаче значения Torque";No;No;0;No;Off;"";"";On;100;"Сг 191: Нет сигнала с датчика момента";0;0;""
"S191temp\LiftPosErr";"$System";"Ошибка датчика";No;No;0;No;Off;"";"";On;100;"Сг 191: Нет сигнала высоты подъема граблин ";0;0;""
"NU161BErr\Err19";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"NU161BErr\Wrn10";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"NU161BErr\Wrn1";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"NU161BErr\Wrn100";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"NU161BErr\Wrn1000";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"NU161BErr\Err4";"$System";"";No;No;0;No;Off;"";"";On;1;"НУ 161(НВ): Некорректная сигнализация с оборудования";0;0;""
"NU161BErr\Err7";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"NU161BErr\Err8";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"P177\ZErr";"$System";"";No;No;0;No;Off;"";"";On;100;"Пл 177: Нет сигнала положения задвижки";0;0;""
"S191Err\Wrn10000";"$System";"";No;No;0;No;Off;"";"";On;200;"Сг 191: Сигнал аварии с местного пульта";0;0;""
"S200Err\Wrn10000";"$System";"";No;No;0;No;Off;"";"";On;200;"Сг 200: Сигнал аварии с местного пульта";0;0;""
"SETOAlarms\Alm6";"$System";"";No;No;0;Yes;Off;"";"";On;1;"СЕТО: Контроль фаз секции 0 - 1 мм. - авария";0;0;""
"PLC_Error";"$System";"";No;No;0;No;Off;"Восстановлена";"Разорвана";On;1;"Связь с управляющим контроллером";0;0;""
"P177temp\HIsShown";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"P177temp\RoErr";"$System";"";No;No;0;No;Off;"";"";On;100;"Пл 177: Нет сигнала с датчика плотности";0;0;""
"NU161AErr\Wrn1";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"NU161AErr\Wrn100";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"NU161AErr\Wrn1000";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"NU161AErr\Err4";"$System";"Нештатная ситуация";No;No;0;No;Off;"";"";On;1;"НУ 161: Нештатная ситуация";0;0;""
"NU161AErr\Err7";"$System";"Сигнал превышения температуры";No;No;0;No;Off;"";"";On;1;"НУ 161: Сигнал превышения температуры";0;0;""
"NU161AErr\Err8";"$System";"Действует внешняя блокировка";No;No;0;No;Off;"";"";On;1;"НУ 161: Действует внешняя блокировка";0;0;""
"NU161BErr\Err1";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"NU161BErr\Err2";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"NU161BErr\Err3";"$System";"";No;No;0;No;Off;"";"";On;1;"НУ 161(НВ): Превышено время ожидания запуска";0;0;""
"NU161BErr\Err18";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"NU161C\IErr";"$System";"";No;No;0;No;Off;"";"";On;100;"НУ 161(Н): Нет сигнала с датчика тока";0;0;""
"NU161AErr\Wrn10";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"NU161AErr\Err18";"$System";"Закрыты всасывающие клапаны";No;No;0;No;Off;"";"";On;1;"НУ 161: Закрыты всасывающие клапаны";0;0;""
"NU161AErr\Err3";"$System";"Идет задержка перед перезапуском";No;No;0;No;Off;"";"";On;1;"НУ 161: Идет задержка перед перезапуском";0;0;""
"NU161AErr\Err2";"$System";"Нажата кнопка СТОП на лок. пульте";No;No;0;No;Off;"";"";On;1;"НУ 161: Нажата кнопка СТОП на лок. пульте";0;0;""
"NU161AErr\Err19";"$System";"Нажата кнопка экстренного останова";No;No;0;No;Off;"";"";On;1;"НУ 161: Нажата кнопка экстренного останова";0;0;""
"NU161AErr\Err1";"$System";"Отключена защитная автоматика";No;No;0;No;Off;"";"";On;1;"НУ 161: Отключена защитная автоматика";0;0;""
"SETOAlarms\Alm4";"$System";"";No;No;0;Yes;Off;"";"";On;200;"СЕТО: Авария 2 БП дискретных сигналов";0;0;""
"SETOAlarms\Alm7";"$System";"";No;No;0;Yes;Off;"";"";On;1;"СЕТО: Вводной автомат секции 1- 13 мм. отключен ";0;0;""
"G170Err\Err1";"$System";"Отключена защитная автоматика";No;No;0;No;Off;"";"";On;1;"Гр 170: Отключена защитная автоматика";0;0;""
"G170Err\Err2";"$System";"Нажата кнопка СТОП на лок. пульте";No;No;0;No;Off;"";"";On;1;"Гр 170: Нажата кнопка СТОП на лок. пульте";0;0;""
"G170Err\Err3";"$System";"Идет задержка перед перезапуском";No;No;0;No;Off;"";"";On;1;"Гр 170: Идет задержка перед перезапуском";0;0;""
"G170Err\Err18";"$System";"Нештатная ситуация";No;No;0;No;Off;"";"";On;1;"Гр 170: Нештатная ситуация";0;0;""
"G170Err\Err19";"$System";"Действует внешняя блокировка";No;No;0;No;Off;"";"";On;1;"Гр 170: Действует внешняя блокировка";0;0;""
"G170Err\Wrn10";"$System";"";No;No;0;No;Off;"";"";On;251;"";0;0;""
"G170Err\Wrn1";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"G170Err\Wrn100";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"G170Err\Wrn1000";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"G170Err\Err4";"$System";"Нажата кнопка экстренного останова";No;No;0;No;Off;"";"";On;1;"Гр 170: Нажата кнопка экстренного останова";0;0;""
"G170Err\Err7";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"G170Err\Err8";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"G172Err\Err1";"$System";"Отключена защитная автоматика";No;No;0;No;Off;"";"";On;1;"Гр 172: Отключена защитная автоматика";0;0;""
"G172Err\Err2";"$System";"Нажата кнопка СТОП на лок. пульте";No;No;0;No;Off;"";"";On;1;"Гр 172: Нажата кнопка СТОП на лок. пульте";0;0;""
"G172Err\Err3";"$System";"Идет задержка перед перезапуском";No;No;0;No;Off;"";"";On;1;"Гр 172: Идет задержка перед перезапуском";0;0;""
"G172Err\Err18";"$System";"Нештатная ситуация";No;No;0;No;Off;"";"";On;1;"Гр 172: Нештатная ситуация";0;0;""
"G172Err\Err19";"$System";"Действует внешняя блокировка";No;No;0;No;Off;"";"";On;1;"Гр 172: Действует внешняя блокировка";0;0;""
"G172Err\Wrn10";"$System";"";No;No;0;No;Off;"";"";On;251;"";0;0;""
"G172Err\Wrn1";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"G172Err\Wrn100";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
